Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
A000148,Jake Auchincloss,M,Democrat,1988,1,MA-04,-0.398887873,-1.310146771
A000370,Alma Adams,F,Democrat,1946,5,NC-12,-0.416996092,-1.367644421
A000371,Pete Aguilar,M,Democrat,1979,4,CA-31,-0.24636142,-0.825841126
A000372,Rick Allen,M,Republican,1951,4,GA-12,0.48252707719802856,1.4885430767780683
A000375,Jodey Arrington,M,Republican,1972,3,TX-19,0.5083860754966736,1.570651187170499
A000376,Colin Allred,M,Democrat,1983,2,TX-32,-0.215521812,-0.727918467
A000377,Kelly Armstrong,M,Republican,1976,2,ND-AL,0.19606348872184753,0.5789570334839397
B000490,Sanford Bishop Jr.,M,Democrat,1947,15,GA-02,-0.273973823,-0.913516689
B000574,Earl Blumenauer,M,Democrat,1948,14,OR-03,-0.161960691,-0.557849913
B000668,Cliff Bentz,M,Republican,1952,1,OR-02,0.1501767933368683,0.4332564998940079
B000740,Stephanie Bice,F,Republican,1973,1,OK-05,0.19947677850723267,0.5897949929154326
B000755,Kevin Brady (Texas),M,Republican,1955,13,TX-08,0.065202057,0.16344268415968577
B000825,Lauren Boebert,F,Republican,1986,1,CO-03,0.46201804280281067,1.4234222998354846
B001223,Jamaal Bowman,M,Democrat,1976,1,NY-16,-0.225184187,-0.758598671
B001224,Cori Bush,F,Democrat,1976,1,MO-01,-0.273487717,-0.911973194
B001248,Michael C. Burgess,M,Republican,1950,10,TX-26,0.17740845680236816,0.5197231295821326
B001251,G.K. Butterfield,M,Democrat,1947,10,NC-01,-0.3966887,-1.303163904
B001257,Gus M. Bilirakis,M,Republican,1963,8,FL-12,0.1496616154909134,0.43162069486556576
B001270,Karen Bass,F,Democrat,1953,6,CA-37,-0.342442214,-1.130919166
B001275,Larry Bucshon,M,Republican,1962,6,IN-08,0.21574409306049347,0.641447359
B001278,Suzanne Bonamici,F,Democrat,1954,6,OR-01,-0.356165588,-1.174493949
B001281,Joyce Beatty,F,Democrat,1950,5,OH-03,-0.4682585,-1.530414047
B001282,Andy Barr,M,Republican,1973,5,KY-06,0.30591335892677307,0.9277549708678031
B001285,Julia Brownley,F,Democrat,1952,5,CA-26,-0.4779284,-1.561118145
B001286,Cheri Bustos,F,Democrat,1961,5,IL-17,-0.13909246,-0.485238158
B001291,Brian Babin,M,Republican,1948,4,TX-36,0.47874951362609863,1.4765484664998076
B001292,Don Beyer,M,Democrat,1950,4,VA-08,-0.299189061,-0.993580717
B001295,Mike Bost,M,Republican,1960,4,IL-12,-0.064628281,-0.248797713
B001296,Brendan Boyle,M,Democrat,1977,4,PA-02,-0.148713812,-0.515788106
