Bioguide_ID,Name,Gender,Party,Born,Number_of_Senate_Terms,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
B000575,Roy Blunt,M,Republican,1950,2,0.18668709695339203,0.8006364421704734
B000944,Sherrod Brown,M,Democrat,1952,2,-0.286552161,-0.954273233
B001135,Richard Burr,M,Republican,1955,3,-0.137926579,-0.403126074
B001230,Tammy Baldwin,F,Democrat,1962,1,-0.303428531,-1.016855752
B001236,John Boozman,M,Republican,1950,2,0.11529672145843506,0.5359000353853831
B001243,Marsha Blackburn,F,Republican,1952,0,0.3987407684326172,1.5869935196306086
B001261,John Barrasso,M,Republican,1952,2,0.478842169,1.884032957088735
B001267,Michael Bennet,M,Democrat,1964,3,-0.162977785,-0.496023279
B001277,Richard Blumenthal,M,Democrat,1946,2,-0.275624335,-0.913749656
B001288,Cory Booker,M,Democrat,1969,2,-0.196342349,-0.619748848
B001310,Mike Braun,M,Republican,1954,0,0.17632551491260529,0.7622126633477863
C000127,Maria Cantwell,F,Democrat,1958,3,-0.163304672,-0.497235471
C000141,Ben Cardin,M,Democrat,1943,2,-0.222925395,-0.718326562
C000174,Tom Carper,M,Democrat,1947,3,-0.229640782,-0.743229183
C000880,Mike Crapo,M,Republican,1951,4,0.16139599680900574,0.7068496406661211
C001035,Susan Collins,F,Republican,1952,4,-0.072933361,-0.162112201
C001047,Shelley Moore Capito,F,Republican,1953,1,0.10373816639184952,0.4930375302543993
C001056,John Cornyn,M,Republican,1952,4,0.24761077761650085,1.0265592811393347
C001070,"Bob Casey, Jr.",M,Democrat,1960,2,-0.196811378,-0.621488145
C001075,Bill Cassidy,M,Republican,1957,1,0.27352747321128845,1.1226659736723037
C001088,Chris Coons,M,Democrat,1963,2,-0.287226737,-0.956774757
C001095,Tom Cotton,M,Republican,1977,1,0.26846274733543396,1.1038844877867182
C001096,Kevin Cramer,M,Republican,1961,0,0.2581791877746582,1.0657500391554382
C001098,Ted Cruz,M,Republican,1970,1,0.4855181872844696,1.908789587
C001113,Catherine Cortez Masto,F,Democrat,1964,1,-0.374638319,-1.280922488
D000563,Dick Durbin,M,Democrat,1944,4,-0.192778498,-0.606533045
D000618,Steve Daines,M,Republican,1962,1,0.336621493,1.3566370657061444
D000622,Tammy Duckworth,F,Democrat,1968,1,-0.243415847,-0.794311158
E000295,Joni Ernst,F,Republican,1970,1,0.3083568513393402,1.2518235015918897
F000062,Dianne Feinstein,F,Democrat,1933,6,-0.14158532,-0.416693759
F000463,Deb Fischer,F,Republican,1951,1,0.23838338255882263,0.9923413996025049
G000359,Lindsey Graham,M,Republican,1955,3,0.15240047872066498,0.6734916267970689
G000386,Chuck Grassley,M,Republican,1933,7,0.17772014439105988,0.7673843576323851
G000555,Kirsten Gillibrand,F,Democrat,1966,2,-0.621089935,-2.194837213
