Bioguide_ID,Name,Gender,Party,Born,Number_of_Senate_Terms,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
A000360,Lamar Alexander,M,Republican,1940,2,0.385584056,1.457162976
A000368,Kelly A. Ayotte,F,Republican,1968,1,0.09174557,0.297610253
B000575,Roy Blunt,M,Republican,1950,1,0.178806141,0.6411708
B000711,Barbara Boxer,F,Democrat,1940,4,-0.337863266,-1.39772296
B000944,Sherrod Brown,M,Democrat,1952,1,-0.279027343,-1.165543199
B001135,Richard Burr,M,Republican,1955,2,0.156446934,0.552936375
B001230,Tammy Baldwin,F,Democrat,1962,0,-0.190654889,-0.816805542
B001236,John Boozman,M,Republican,1950,1,0.334283769,1.254720569
B001261,John Barrasso,M,Republican,1952,1,0.494899541,1.888546467
B001267,Michael Bennet,M,Democrat,1964,2,-0.080228105,-0.38103658
B001277,Richard Blumenthal,M,Democrat,1946,1,-0.153119221,-0.668681383
B001288,Cory Booker,M,Democrat,1969,1,-0.193123937,-0.826548994
C000127,Maria Cantwell,F,Democrat,1958,2,0.020004595,0.014504195
C000141,Ben Cardin,M,Democrat,1943,1,-0.098094799,-0.451542586
C000174,Tom Carper,M,Democrat,1947,2,-0.027931049,-0.174660638
C000542,Dan Coats,M,Republican,1943,3,0.107079044,0.358119577
C000567,Thad Cochran,M,Republican,1937,6,0.205785319,0.747636735
C000880,Mike Crapo,M,Republican,1951,3,0.17298004,0.618179739
C001035,Susan Collins,F,Republican,1952,3,0.076307833,0.236689448
C001047,Shelley Moore Capito,F,Republican,1953,0,0.209022731,0.760412276
C001056,John Cornyn,M,Republican,1952,3,0.378133625,1.427761912
C001070,"Bob Casey, Jr.",M,Democrat,1960,1,-0.176023155,-0.759065449
C001071,Bob Corker,M,Republican,1952,1,0.494475693,1.88687396
C001075,Bill Cassidy,M,Republican,1957,0,0.020809313,0.017679796
C001088,Chris Coons,M,Democrat,1963,1,-0.164269388,-0.712682426
C001095,Tom Cotton,M,Republican,1977,0,0.238016188,0.874826968
C001098,Ted Cruz,M,Republican,1970,0,0.088499226,0.284799427
D000563,Dick Durbin,M,Democrat,1944,3,-0.26473254,-1.109132648
D000607,Joe Donnelly,M,Democrat,1955,0,-0.103048205,-0.47108984
D000618,Steve Daines,M,Republican,1962,0,0.306359023,1.144523144
E000285,Mike Enzi,M,Republican,1944,3,0.384112239,1.451354861
E000295,Joni Ernst,F,Republican,1970,0,0.276981533,1.028593063
F000062,Dianne Feinstein,F,Democrat,1933,4,-0.089763843,-0.41866675
F000444,Jeff Flake,M,Republican,1962,0,0.215689868,0.786722302
F000457,Al Franken,M,Democrat,1951,1,-0.266015857,-1.114196897
F000463,Deb Fischer,F,Republican,1951,0,0.27808708,1.032955766
G000359,Lindsey Graham,M,Republican,1955,2,0.060545459,0.174487576
G000386,Chuck Grassley,M,Republican,1933,6,0.149279729,0.524652958
G000555,Kirsten Gillibrand,F,Democrat,1966,1,-0.322829008,-1.338394403
G000562,Cory Gardner,M,Republican,1974,0,0.286146909,1.064761639
H000338,Orrin Hatch,M,Republican,1934,6,0.204025194,0.740690887
H001041,Dean Heller,M,Republican,1960,1,0.2485549,0.916415095
H001042,Mazie K. Hirono,F,Democrat,1947,0,-0.390917927,-1.607088566
H001046,Martin Heinrich,M,Democrat,1971,0,-0.160494789,-0.697787046
H001061,John Hoeven,M,Republican,1957,1,0.27406618,1.017088413
H001069,Heidi Heitkamp,F,Democrat,1955,0,-0.094764583,-0.438400805
I000024,Jim Inhofe,M,Republican,1934,4,0.205783904,0.747631133
I000055,Johnny Isakson,M,Republican,1944,2,0.216224313,0.788831353
J000293,Ron Johnson (Wisconsin),M,Republican,1955,1,0.301651716,1.125947118
K000360,Mark Kirk,M,Republican,1959,2,-0.028738342,-0.177846402
K000367,Amy Klobuchar,F,Democrat,1960,1,-0.147678912,-0.647212684
K000383,Angus King,M,Independent,1944,0,-0.015395151,-0.125191167
K000384,Tim Kaine,M,Democrat,1958,0,-0.122410782,-0.547498941
L000174,Patrick Leahy,M,Democrat,1940,7,-0.261047333,-1.094589949
L000575,James Lankford,M,Republican,1968,1,0.186078236,0.669868112
L000577,Mike Lee,M,Republican,1971,1,0.148753941,0.522578061
M000133,Ed Markey,M,Democrat,1946,1,-0.313713163,-1.302421212
M000303,John McCain,M,Republican,1936,5,0.204412654,0.742219865
