Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
A000055,Robert B. Aderholt,M,Republican,1965,14,AL-04,0.027568550780415535,0.16830363869667053
A000148,Jake Auchincloss,M,Democrat,1988,2,MA-04,-0.122950256,-0.336287975
A000369,Mark Amodei,M,Republican,1958,7,NV-02,0.077834442,0.33681246638298035
A000370,Alma Adams,F,Democrat,1946,6,NC-12,-0.21092397,-0.631206632
A000371,Pete Aguilar,M,Democrat,1979,5,CA-33,-0.450645655,-1.434837341
A000372,Rick Allen,M,Republican,1951,5,GA-12,0.31323811411857605,1.1259678602218628
A000375,Jodey Arrington,M,Republican,1972,4,TX-19,0.2660759687423706,0.9678638577461243
A000376,Colin Allred,M,Democrat,1983,3,TX-32,-0.455583841,-1.451391935
A000377,Kelly Armstrong,M,Republican,1976,3,ND-AL,0.24614660441875458,0.9010536074638367
A000379,Mark Alford (politician),M,Republican,1963,1,MO-04,0.29229041934013367,1.0557438135147095
A000380,Gabe Amo,M,Democrat,1987,1,RI-01,-0.409758806,-1.297770381
B000490,Sanford Bishop Jr.,M,Democrat,1947,16,GA-02,-0.22050491,-0.66332525
B000574,Earl Blumenauer,M,Democrat,1948,15,OR-03,-0.183141381,-0.538069665
B000668,Cliff Bentz,M,Republican,1952,2,OR-02,0.17201559245586395,0.6525405645370483
B000740,Stephanie Bice,F,Republican,1973,2,OK-05,0.2891952097415924,1.0453675985336304
B000825,Lauren Boebert,F,Republican,1986,2,CO-03,0.34584179520606995,1.2352668046951294
B001223,Jamaal Bowman,M,Democrat,1976,2,NY-16,-0.469555259,-1.498229027
B001224,Cori Bush,F,Democrat,1976,2,MO-01,-0.629336596,-2.033871889
B001248,Michael C. Burgess,M,Republican,1950,11,TX-26,0.2359364628791809,0.8668256998062134
B001257,Gus M. Bilirakis,M,Republican,1963,9,FL-12,0.4106586277484894,1.4525554180145264
B001275,Larry Bucshon,M,Republican,1962,7,IN-08,0.36235278844833374,1.2906173467636108
B001278,Suzanne Bonamici,F,Democrat,1954,7,OR-01,-0.437187284,-1.389720201
B001281,Joyce Beatty,F,Democrat,1950,6,OH-03,-0.374759316,-1.18043983
B001282,Andy Barr,M,Republican,1973,6,KY-06,0.35301700234413147,1.259320616722107
B001285,Julia Brownley,F,Democrat,1952,6,CA-26,-0.448361814,-1.427181125
B001287,Ami Bera,M,Democrat,1965,6,CA-06,-0.09202832,-0.232626855
B001291,Brian Babin,M,Republican,1948,5,TX-36,0.340314656,1.2167378664016724
