Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
A000055,Robert B. Aderholt,M,Republican,1965,12,AL-04,0.23428279161453247,0.7668806910514832
A000370,Alma Adams,F,Democrat,1946,4,NC-12,-0.270096928,-1.065494299
A000371,Pete Aguilar,M,Democrat,1979,3,CA-31,-0.289782882,-1.137011886
A000372,Rick Allen,M,Republican,1951,3,GA-12,0.5189415812492371,1.8010255098342896
A000374,Ralph Abraham,M,Republican,1954,3,LA-05,0.5361717939376831,1.8636215925216675
A000375,Jodey Arrington,M,Republican,1972,2,TX-19,0.46133503317832947,1.591745138168335
A000376,Colin Allred,M,Democrat,1983,1,TX-32,-0.137774661,-0.584777117
A000377,Kelly Armstrong,M,Republican,1976,1,ND-AL,0.13440723717212677,0.40404003858566284
A000378,Cindy Axne,F,Democrat,1965,1,IA-03,0.040658187,0.063456535
B000490,Sanford Bishop Jr.,M,Democrat,1947,14,GA-02,-0.120367505,-0.521538138
B000574,Earl Blumenauer,M,Democrat,1948,13,OR-03,-0.152850837,-0.639547765
B000755,Kevin Brady (Texas),M,Republican,1955,12,TX-08,0.18773265182971954,0.5977674126625061
B001248,Michael C. Burgess,M,Republican,1950,9,TX-26,0.077142954,0.1960030496120453
B001250,Rob Bishop,M,Republican,1951,9,UT-01,0.24735915660858154,0.8143861889839172
B001251,G.K. Butterfield,M,Democrat,1947,9,NC-01,-0.015640099,-0.141071066
B001257,Gus M. Bilirakis,M,Republican,1963,7,FL-12,0.075065851,0.18845708668231964
B001270,Karen Bass,F,Democrat,1953,5,CA-37,-0.331747472,-1.289466262
B001274,Mo Brooks,M,Republican,1954,5,AL-05,0.40233778953552246,1.3774124383926392
B001275,Larry Bucshon,M,Republican,1962,5,IN-08,0.47074559330940247,1.625933051109314
B001278,Suzanne Bonamici,F,Democrat,1954,5,OR-01,-0.330656409,-1.285502553
B001281,Joyce Beatty,F,Democrat,1950,4,OH-03,-0.243614078,-0.969283998
B001282,Andy Barr,M,Republican,1973,4,KY-06,0.21989046037197113,0.7145944237709045
B001284,Susan Brooks,F,Republican,1960,4,IN-05,0.15334370732307434,0.47283485531806946
B001285,Julia Brownley,F,Democrat,1952,4,CA-26,-0.255255282,-1.011575699
B001286,Cheri Bustos,F,Democrat,1961,4,IL-17,-0.070084572,-0.338863909
B001287,Ami Bera,M,Democrat,1965,4,CA-07,-0.111493774,-0.489300519
B001289,Bradley Byrne,M,Republican,1955,4,AL-01,0.30557548999786377,1.0258820056915283
B001291,Brian Babin,M,Republican,1948,3,TX-36,0.43445873260498047,1.4941054582595825
B001292,Don Beyer,M,Democrat,1950,3,VA-08,-0.024064034,-0.171674609
B001295,Mike Bost,M,Republican,1960,3,IL-12,0.2254025638103485,0.7346194982528687
B001296,Brendan Boyle,M,Democrat,1977,3,PA-02,-0.311324894,-1.215272546
B001297,Ken Buck,M,Republican,1959,3,CO-04,0.24016086757183075,0.7882353067398071
B001298,Don Bacon,M,Republican,1963,2,NE-02,0.2517850995063782,0.8304653167724609
B001299,Jim Banks,M,Republican,1979,2,IN-03,0.5187466144561768,1.8003172874450684
B001300,Nanette Barragán,F,Democrat,1976,2,CA-44,-0.274945796,-1.083109856
B001301,Jack Bergman,M,Republican,1947,2,MI-01,0.4459151029586792,1.5357255935668945
B001302,Andy Biggs,M,Republican,1958,2,AZ-05,0.28311845660209656,0.944297194
B001303,Lisa Blunt Rochester,F,Democrat,1962,2,DE-AL,-0.059496112,-0.30039677
B001304,Anthony Brown (Maryland),M,Democrat,1961,2,MD-04,-0.237916633,-0.948585629
B001305,Ted Budd,M,Republican,1971,2,NC-13,0.3898058533668518,1.331884741783142
B001306,Troy Balderson,M,Republican,1962,2,OH-12,0.15000227093696594,0.46069568395614624
B001307,James Baird,M,Republican,1945,1,IN-04,0.38423117995262146,1.3116323947906494
B001308,Anthony Brindisi,M,Democrat,1978,1,NY-22,-0.019474013,-0.15499939
B001309,Tim Burchett,M,Republican,1964,1,TN-02,0.4316844344139099,1.4840266704559326
B001311,Dan Bishop,M,Republican,1964,1,NC-09,0.24171122908592224,0.7938677072525024
C000059,Ken Calvert,M,Republican,1953,14,CA-42,0.22166574001312256,0.7210438847541809
C000266,Steve Chabot,M,Republican,1953,12,OH-01,0.14044475555419922,0.42597392201423645
C000537,James E. Clyburn,M,Democrat,1940,14,SC-06,-0.197371826,-0.80128932
C000754,Jim Cooper,M,Democrat,1954,15,TN-05,0.2209458351135254,0.7184284925460815
C000984,Elijah Cummings,M,Democrat,1951,13,MD-07,-0.25345993,-1.005053282
C001049,William Lacy Clay,M,Democrat,1956,10,MO-01,-0.366058916,-1.414117217
C001051,John Carter,M,Republican,1941,9,TX-31,0.029577706,0.023201949894428253
C001053,Tom Cole,M,Republican,1949,9,OK-04,0.047539159655570984,0.088454612
