Bioguide_ID,Name,Gender,Party,Born,Number_of_Senate_Terms,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
A000360,Lamar Alexander,M,Republican,1940,3,0.099606119,0.4311494827270508
B000575,Roy Blunt,M,Republican,1950,1,0.24229738116264343,1.0278006792068481
B000944,Sherrod Brown,M,Democrat,1952,2,-0.447896063,-1.858183861
B001135,Richard Burr,M,Republican,1955,2,0.063035615,0.27823305130004883
B001230,Tammy Baldwin,F,Democrat,1962,1,-0.301642984,-1.246639252
B001236,John Boozman,M,Republican,1950,1,0.15128667652606964,0.6472472548484802
B001243,Marsha Blackburn,F,Republican,1952,0,0.2057093232870102,0.8748109340667725
B001261,John Barrasso,M,Republican,1952,2,0.3357735872268677,1.418663501739502
B001267,Michael Bennet,M,Democrat,1964,2,-0.217485324,-0.894741237
B001277,Richard Blumenthal,M,Democrat,1946,1,-0.274862766,-1.134660006
B001288,Cory Booker,M,Democrat,1969,2,-0.238619313,-0.983111203
B001310,Mike Braun,M,Republican,1954,0,0.172661692,0.736625075
C000127,Maria Cantwell,F,Democrat,1958,3,-0.212645471,-0.874503791
C000141,Ben Cardin,M,Democrat,1943,2,-0.221803591,-0.912797689
C000174,Tom Carper,M,Democrat,1947,3,-0.098462626,-0.39705798
C000880,Mike Crapo,M,Republican,1951,3,0.048831228,0.2188386172056198
C001035,Susan Collins,F,Republican,1952,4,-0.04235246,-0.162438154
C001047,Shelley Moore Capito,F,Republican,1953,1,0.1789996474981308,0.7631266713142395
C001056,John Cornyn,M,Republican,1952,4,0.19511108100414276,0.830495298
C001070,"Bob Casey, Jr.",M,Democrat,1960,2,-0.220659077,-0.908011973
C001075,Bill Cassidy,M,Republican,1957,1,0.082524456,0.3597239851951599
C001088,Chris Coons,M,Democrat,1963,2,-0.177028328,-0.725573778
C001095,Tom Cotton,M,Republican,1977,1,0.17445164918899536,0.7441096305847168
C001096,Kevin Cramer,M,Republican,1961,0,0.22297345101833344,0.9469993710517883
C001098,Ted Cruz,M,Republican,1970,1,0.069043353,0.3033539056777954
C001113,Catherine Cortez Masto,F,Democrat,1964,0,-0.22760883,-0.9370718
D000563,Dick Durbin,M,Democrat,1944,4,-0.277435035,-1.145415783
D000618,Steve Daines,M,Republican,1962,1,0.3044486343860626,1.287680983543396
D000622,Tammy Duckworth,F,Democrat,1968,0,-0.285478979,-1.179050803
E000285,Mike Enzi,M,Republican,1944,4,0.47480031847953796,1.9999918937683105
E000295,Joni Ernst,F,Republican,1970,1,0.18157760798931122,0.7739062309265137
F000062,Dianne Feinstein,F,Democrat,1933,5,-0.358401805,-1.483971357
F000463,Deb Fischer,F,Republican,1951,1,0.22333888709545135,0.9485273957252502
G000359,Lindsey Graham,M,Republican,1955,3,0.13995805382728577,0.5998775959014893
G000386,Chuck Grassley,M,Republican,1933,6,0.13821996748447418,0.5926099419593811
G000555,Kirsten Gillibrand,F,Democrat,1966,2,-0.299539834,-1.237845063
G000562,Cory Gardner,M,Republican,1974,1,0.21050767600536346,0.8948748111724854
H001042,Mazie K. Hirono,F,Democrat,1947,1,-0.383774936,-1.59006691
H001046,Martin Heinrich,M,Democrat,1971,1,-0.194953859,-0.800527811
H001061,John Hoeven,M,Republican,1957,1,0.3596053719520569,1.5183141231536865
