name,nonwhite,district_percent_white,maj_min,standardized_vote_ideal_point,k_std_speech_ip,k_std_tweet_ip,feb_rank_vote,feb_rank_speech,feb_rank_tweet,bioguide_id,party,vote_ip_rank,kspeech_ip_rank,ktweet_ip_rank,k_vote_speech_gap,k_vote_tweet_gap,k_vote_speech_catgap,k_vote_tweet_catgap,gop,female,number_of_house_terms,rlvthouse,trump16,suburban,urban,district_unemployment_rate,allfreedom_v2,allprog_v2,allbluedog_v2,allnewdems_v2,allgoplead_v2,alldemlead_v2,allcmtechair_v2,alltopcmte_v2,tbip_floor_speeches,speech_ip_rank,allgoplead,alldemlead,allcmtechair,alltopcmte,var41,var42,allprobsolve_v2,allrsc_v2,allprog,allnewdems,allbluedog,allprobsolve,allrsc,allfreedom,present_cong115,present_cong116,born,district,dem,gender,black,hispanic,asianamer,house2016,house2016new,house2018,house2018new,clinton16,district_density,distict_density_sub,district_percent_female,district_percent_male,district_percent_senior,district_median_age,district_percent_black,district_percent_asian,district_percent_hispanic,district_percent_americanindian,district_mean_income,district_mean_minus_national_mea,district_median_income,district_median_minus_national_m,dwnominate_1,dwnominate_2,tbip_tweets,k_speech_tweet_gap,progressive_caucus_cong115,newdems_caucus_cong115,bluedog_caucus_cong115,problemsolvers_caucus_cong115,rsc_caucus_cong115,freedom_caucus_cong115,gop_leadership_cong115,dem_leadership_cong115,committeechair_cong115,topcommittee_cong115,progressive_caucus_cong116,newdems_caucus_cong116,bluedog_caucus_cong116,problemsolvers_caucus_cong116,rsc_caucus_cong116,freedom_caucus_cong116,gop_leadership_cong116,dem_leadership_cong116,committeechair_cong116,topcommittee_cong116,new116,rural,xgopfemale,xgopnonwhite,xgoprlvthouse,xgopterms,xgoptrump,xgopsuburban,xgopurban,xgoppercentwhite,xgopunemployment,xgopprobsolv,xgopcmtechair,xgoptopcmte,xgoprsc,xgopfreedom,xgopprog,xgopbluedog,xgopnewdems,xgopgoplead,xgopdemlead,k_vote_tweet_abscatgap,k_vote_speech_catgap_invert,k_vote_tweet_catgap_invert,k_vote_speech_gap_invert,k_vote_tweet_gap_invert,feb_gap_VS,feb_gap_VT,feb_gapcat_VS,feb_gapcat_VS_invert,feb_gapcat_VT_invert,minfemale,maj_black,maj_hispanic,maj_asian,demographic_sum,x_majmin_nonwhite,x_majblack_black,x_majhisp_hisp,x_female_majmin,x_female_majblack,x_female_majhisp
Will Hurd,1,84.3,0,0.724613,0.796615,0.629602,252,331,264,H001073,Republican,272,346,274,-74,-2,-1,0,1,0,3,49.1672,46.4,0,0,2.1,0,0,0,0,0,0,0,1,0.280931,252,0,1,1,0,H001073,Will Hurd,0,0,1,0,0,0,0,0,1,1,1977,TX-23,0,M,1,0,0,48.7119,0,49.1672,49.1672,49.8,Rural-suburban mix,Rural,50.27,49.73,0.85,34.4,3.5,2,69.6,0.8,81548,-10776,59074,-6638,0.297,0.228,0.313737,72,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,49.1672,3,46.4,0,0,84.3,2.1,0,0,1,0,0,0,0,0,0,0,0,1,0,74,2,-79,-12,-79,1,0,0,0,1,0,160.2,0,0,0,0,0,0
Ileana Ros-Lehtinen,1,87.6,0,0.424038,0.070873,-1.35175,238,234,37,R000435,Republican,252,242,37,10,215,0,4,1,1,15,50.6244,38.9,0,1,3.8,0,0,0,0,0,0,0,0,0.076074,225,0,0,0,0,R000435,Ileana Ros-Lehtinen,0,0,0,0,0,0,1,0,1,0,1952,FL-27,0,F,0,1,0,50.6244,50.6244,,0,58.5,Urban-suburban mix,Urban,51.28,48.72,21.69,41.9,4.7,2.1,72.7,0,104582,16718,61358,-579,0.244,-0.225,-0.372488,205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,50.6244,15,38.9,0,1,87.6,3.8,0,0,0,0,0,0,0,0,0,0,4,0,-4,-10,-215,4,201,4,0,-4,1,0,1,0,167.1,0,0,1,0,0,1
Mario Diaz-Balart,1,90.5,0,0.779982,-0.263563,-0.604928,263,202,182,D000600,Republican,287,207,182,80,105,1,2,1,0,9,60.4534,49.7,0,1,1.8,0,0,0,0,0,0,0,1,-0.018329,204,0,0,0,0,D000600,Mario Diaz-Balart,0,0,0,1,0,0,0,0,1,1,1961,FL-25,0,M,0,1,0,61.4894,0,60.4534,60.4534,47.9,Urban-suburban mix,Urban,50.93,49.07,0.92,42.8,4.1,1.1,76,0.1,74887,-17437,56270,-9442,0.278,0.115,-0.113833,25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,60.4534,9,49.7,0,1,90.5,1.8,0,0,1,0,0,0,0,0,0,0,2,-1,-2,-80,-105,61,81,61,-1,-1,0,0,1,0,171.8,0,0,1,0,0,0
Dana Rohrabacher,0,63.9,0,0.808065,-0.014872,-0.303162,269,227,205,R000409,Republican,297,233,208,64,89,1,2,1,0,15,52.4992,46.2,0,1,3.6,0,0,0,0,0,0,0,0,0.05187,223,0,0,0,0,R000409,Dana Rohrabacher,0,0,1,0,0,0,0,0,1,0,1947,CA-48,0,M,0,0,0,52.4992,52.4992,,0,47.9,Urban-suburban mix,Urban,50.35,49.65,21.25,42.6,1.7,20.4,20.7,0.3,133792,45928,95136,33199,0.626,-0.417,-0.009319,25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4992,15,46.2,0,1,63.9,3.6,0,0,0,0,0,0,0,0,0,0,2,-1,-2,-64,-89,42,64,42,0,-1,0,0,0,0,107,0,0,0,0,0,0
Tom Garrett (Virginia politician),0,74.9,0,0.86241,0.575265,0.176485,297,291,233,G000580,Republican,330,301,241,29,89,0,2,1,0,1,55.8794,53.4,0,0,4.3,1,0,0,0,0,0,0,0,0.21845,271,1,0,0,0,G000580,Tom Garrett (Virginia politician),0,1,0,0,0,0,1,1,1,0,1972,VA-05,0,M,0,0,0,55.8794,55.8794,,0,42.3,Pure rural,Rural,51.03,48.97,24.44,42.8,19,2,3.4,0.2,79396,-8468,55491,-6446,0.931,-0.365,0.156803,60,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,55.8794,1,53.4,0,0,74.9,4.3,0,0,0,1,1,0,0,0,0,0,2,0,-2,-29,-89,6,64,6,0,-1,0,0,0,0,99.5,0,0,0,0,0,0
Brian Fitzpatrick,0,85.4,0,0.33256,1.02383,0.283498,237,373,238,F000466,Republican,251,393,247,-142,4,-3,0,1,0,2,51.2596,47.1,1,0,2.6,0,0,0,0,0,0,0,0,0.345067,240,0,0,0,1,F000466,Brian Fitzpatrick,0,0,0,1,0,0,0,0,1,1,1973,PA-01,0,M,0,0,0,50.848,0,51.2596,51.2596,49.1,Sparse suburban,Suburban,51.14,48.86,0.53,43.5,4.7,6.2,5.5,0.1,120759,28435,93474,27762,0.182,-0.2,0.193866,146,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,51.2596,2,47.1,1,0,85.4,2.6,0,0,0,0,0,0,0,0,0,0,0,3,0,142,-4,-136,-1,-136,3,0,0,0,0,0,101.9,0,0,0,0,0,0
Ben Cline,0,82.2,0,1.30024,1.17008,0.327846,447,394,239,C001118,Republican,500,416,248,84,252,1,5,1,0,1,59.6911,59.7,0,0,2,1,0,0,0,0,0,0,0,0.38635,414,0,0,0,0,C001118,Ben Cline,0,1,0,1,0,0,0,0,0,1,1972,VA-06,0,M,0,0,0,,0,59.6911,59.6911,34.9,Rural-suburban mix,Rural,51.47,48.53,0.6,39.7,11.9,1.5,5.6,0.3,76740,-15584,59939,-5773,0.724,-0.236,0.209226,168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,59.6911,1,59.7,0,0,82.2,2,0,0,0,1,1,0,0,0,0,0,5,-1,-5,-84,-252,53,208,53,-1,-4,0,0,0,0,101.5,0,0,0,0,0,0
Carlos Curbelo,1,79,0,0.484874,0.693972,0.344251,239,315,240,C001107,Republican,254,328,249,-74,5,-1,0,1,0,2,51.2047,40.5,0,1,4.7,0,0,0,0,0,0,0,1,0.251958,241,0,0,0,0,C001107,Carlos Curbelo,1,0,0,1,0,1,0,0,1,0,1980,FL-26,0,M,0,1,0,51.2047,51.2047,,0,56.8,Urban-suburban mix,Urban,50.78,49.22,17.82,39.2,11,1.5,72,0.6,80446,-7418,61501,-436,0.211,-0.185,0.214908,79,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,51.2047,2,40.5,0,1,79,4.7,1,0,1,0,0,0,0,0,0,0,0,1,0,74,-5,-76,-1,-76,1,0,0,0,1,0,164.1,0,0,1,0,0,0
Jaime Herrera Beutler,1,85.9,0,0.753189,0.442559,0.380061,256,272,241,H001056,Republican,277,281,250,-4,27,0,0,1,1,5,52.671,49.9,0,0,3,0,0,0,0,0,0,0,1,0.180991,242,0,0,0,0,H001056,Jaime Herrera Beutler,0,0,1,0,0,1,0,0,1,1,1978,WA-03,0,F,0,1,0,57.2561,0,52.671,52.671,42.5,Rural-suburban mix,Rural,50.44,49.56,0.52,39.8,1.6,3.2,10.2,0.7,90795,-1529,70936,5224,0.363,-0.2,0.22731,31,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,52.671,5,49.9,0,0,85.9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,-27,-16,15,-16,0,0,1,0,0,0,101.6,0,0,0,0,0,0
John Katko,0,83.3,0,0.498112,0.57382,0.406895,240,290,242,K000386,Republican,255,300,251,-45,4,-1,0,1,0,3,43.5885,45.3,0,0,2.4,0,0,0,0,0,0,0,0,0.218042,240,0,0,0,0,K000386,John Katko,1,0,0,0,0,0,1,0,1,1,1962,NY-24,0,M,0,0,0,45.8179,0,43.5885,43.5885,48.9,Rural-suburban mix,Rural,51.21,48.79,0.42,40.4,8.5,2.8,4.7,0.5,81493,-10831,60899,-4813,0.204,-0.01,0.236604,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43.5885,3,45.3,0,0,83.3,2.4,1,0,0,0,0,0,0,0,0,0,0,1,0,45,-4,-50,-2,-50,1,0,0,0,0,0,99.8,0,0,0,0,0,0
