Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
A000055,Robert B. Aderholt,M,Republican,1965,11,AL-04,0.25782457,0.751933813
A000370,Alma Adams,F,Democrat,1946,3,NC-12,-0.371965587,-1.41299367
A000371,Pete Aguilar,M,Democrat,1979,2,CA-31,-0.272811204,-1.072146654
A000372,Rick Allen,M,Republican,1951,2,GA-12,0.477458119,1.506932497
A000374,Ralph Abraham,M,Republican,1954,2,LA-05,0.087249748,0.165576458
A000375,Jodey Arrington,M,Republican,1972,1,TX-19,0.409656376,1.273861408
B000213,Joe Barton,M,Republican,1949,17,TX-06,0.124340519,0.293077379
B000490,Sanford Bishop Jr.,M,Democrat,1947,13,GA-02,-0.00332112,-0.145764321
B000574,Earl Blumenauer,M,Democrat,1948,12,OR-03,-0.285034686,-1.114165425
B000755,Kevin Brady (Texas),M,Republican,1955,11,TX-08,0.406011432,1.261331797
B001227,Robert A. Brady,M,Democrat,1945,11,PA-01,-0.792250454,-2.857738733
B001243,Marsha Blackburn,F,Republican,1952,8,TN-07,0.239899069,0.690314233
B001245,Madeleine Bordallo,F,Democrat,1933,8,GU-AL,0.010970904,-0.096634947
B001248,Michael C. Burgess,M,Republican,1950,8,TX-26,0.063547485,0.084099039
B001250,Rob Bishop,M,Republican,1951,8,UT-01,0.342713624,1.043743134
B001251,G.K. Butterfield,M,Democrat,1947,8,NC-01,-0.149653003,-0.648785651
B001257,Gus M. Bilirakis,M,Republican,1963,6,FL-12,0.306645244,0.91975677
B001269,Lou Barletta,M,Republican,1956,4,PA-11,0.344276011,1.04911387
B001270,Karen Bass,F,Democrat,1953,4,CA-37,-0.24622865,-0.980768085
B001273,Diane Black,F,Republican,1951,4,TN-06,0.343117774,1.045132399
B001274,Mo Brooks,M,Republican,1954,4,AL-05,0.065878198,0.092110947
B001275,Larry Bucshon,M,Republican,1962,4,IN-08,0.422788441,1.319003344
B001278,Suzanne Bonamici,F,Democrat,1954,4,OR-01,-0.252387345,-1.001938939
B001281,Joyce Beatty,F,Democrat,1950,3,OH-03,-0.433807552,-1.625577688
B001282,Andy Barr,M,Republican,1973,3,KY-06,0.323232472,0.976775944
B001284,Susan Brooks,F,Republican,1960,3,IN-05,0.042012282,0.010070963
B001285,Julia Brownley,F,Democrat,1952,3,CA-26,-0.116991125,-0.536509275
B001286,Cheri Bustos,F,Democrat,1961,3,IL-17,-0.309449196,-1.198091149
B001287,Ami Bera,M,Democrat,1965,3,CA-07,-0.225022674,-0.907871842
B001289,Bradley Byrne,M,Republican,1955,3,AL-01,0.212239683,0.595234036
B001290,David Brat,M,Republican,1964,3,VA-07,0.097331464,0.200232744
