name,standardized_vote_ideal_point,standardized_tbip_floor_speeches,standardized_tbip_tweets,bioguide_id,party,tbip_floor_speeches,tbip_tweets
Will Hurd,0.724613,0.796615,0.629602,H001073,Republican,0.280931,0.313737
Ileana Ros-Lehtinen,0.424038,0.070873,-1.35175,R000435,Republican,0.076074,-0.372488
Mario Diaz-Balart,0.779982,-0.263563,-0.604928,D000600,Republican,-0.018329,-0.113833
Dana Rohrabacher,0.808065,-0.014872,-0.303162,R000409,Republican,0.05187,-0.009319
Tom Garrett (Virginia politician),0.86241,0.575265,0.176485,G000580,Republican,0.21845,0.156803
Brian Fitzpatrick,0.33256,1.02383,0.283498,F000466,Republican,0.345067,0.193866
Ben Cline,1.30024,1.17008,0.327846,C001118,Republican,0.38635,0.209226
Carlos Curbelo,0.484874,0.693972,0.344251,C001107,Republican,0.251958,0.214908
Jaime Herrera Beutler,0.753189,0.442559,0.380061,H001056,Republican,0.180991,0.22731
John Katko,0.498112,0.57382,0.406895,K000386,Republican,0.218042,0.236604
John Curtis (Utah),0.998526,0.663819,0.428372,C001114,Republican,0.243447,0.244042
Anthony Gonzalez,0.858462,0.967714,0.437842,G000588,Republican,0.329228,0.247322
James Baird,1.1895,1.23153,0.440901,B001307,Republican,0.403696,0.248382
Daniel Crenshaw,1.11473,0.674942,0.47333,C001120,Republican,0.246586,0.259613
Dan Bishop,1.58365,0.580887,0.503662,B001311,Republican,0.220037,0.270119
Scott Taylor (politician),0.822827,0.405983,0.504824,T000477,Republican,0.170666,0.270521
Ronald Wright,1.37084,0.838735,0.529619,W000827,Republican,0.292821,0.279108
Michael Guest,1.20169,1.63731,0.531625,G000591,Republican,0.518236,0.279803
John Rutherford (Florida),0.896666,0.964502,0.539215,R000609,Republican,0.328321,0.282432
Brian Mast,0.821667,0.63392,0.546369,M001199,Republican,0.235007,0.28491
Gregory Murphy,1.43408,1.17084,0.566738,M001210,Republican,0.386566,0.291964
Greg Gianforte,0.965232,1.55535,0.575759,G000584,Republican,0.495101,0.295089
Keith Rothfus,0.859768,1.03398,0.575955,R000598,Republican,0.347933,0.295156
Kelly Armstrong,1.11222,-0.101262,0.578798,A000377,Republican,0.027485,0.296141
Mark Green (Tennessee),1.3322,1.22317,0.586064,G000590,Republican,0.401337,0.298657
